행정구역,2025년08월_총인구수,2025년08월_세대수,2025년08월_세대당 인구,2025년08월_남자 인구수,2025년08월_여자 인구수,2025년08월_남여 비율
서울특별시,"9,321,863","4,504,347",207,"4,494,474","4,827,389",0.93
부산광역시,"3,249,975","1,574,235",206,"1,580,238","1,669,737",0.95
대구광역시,"2,356,667","1,110,321",,"1,154,753","1,201,914",0.96
인천광역시,"3,043,162","1,393,210",218,,"1,523,062",1
광주광역시,"1,397,772","659,168",212,"689,731","708,041",0.97
대전광역시,"1,441,596","696,342",207,"718,458","723,138",0.99
울산광역시,"1,092,989","497,869",22,"563,014","529,975",1.06
세종특별자치시,"391,984","165,088",237,,"196,832",0.99
경기도,"13,720,015","6,105,536",225,"6,891,841","6,828,174",1.01
강원특별자치도,"1,509,670","767,034",197,"759,037","750,633",1.01
충청북도,"1,591,965","794,160",2,"811,165","780,800",1.04
충청남도,"2,136,195","1,060,583",201,"1,096,586","1,039,609",1.05
전북특별자치도,"1,728,330","867,403",199,"861,131","867,199",0.99
전라남도,"1,780,646","913,971",195,"899,345","881,301",1.02
경상북도,"2,514,198","1,296,094",194,"1,272,463","1,241,735",1.02
경상남도,"3,212,001","1,545,770",208,,"1,592,375",1.02
제주특별자치도,"665,953","315,323",211,"332,675","333,278",1
