지점,지점명,일시,기온,습도
112,인천,2025-09-14 1:00,22.2,84
112,인천,2025-09-14 2:00,21.8,86
112,인천,2025-09-14 3:00,21.7,87
112,인천,2025-09-14 4:00,21.4,87
112,인천,2025-09-14 5:00,21.2,87
112,인천,2025-09-14 6:00,21.2,87
112,인천,2025-09-14 7:00,21.3,87
112,인천,2025-09-14 8:00,22.3,86
112,인천,2025-09-14 9:00,22.9,85
112,인천,2025-09-14 10:00,23.8,82
112,인천,2025-09-14 11:00,24.6,79
112,인천,2025-09-14 12:00,25.9,71
112,인천,2025-09-14 13:00,26.9,64
112,인천,2025-09-14 14:00,27.4,61
112,인천,2025-09-14 15:00,27.7,65
112,인천,2025-09-14 16:00,27.4,70
112,인천,2025-09-14 17:00,27,68
112,인천,2025-09-14 18:00,26.4,70
112,인천,2025-09-14 19:00,25.2,73
112,인천,2025-09-14 20:00,24.7,78
112,인천,2025-09-14 21:00,24.5,82
112,인천,2025-09-14 22:00,24.2,85
112,인천,2025-09-14 23:00,23.9,84
112,인천,2025-09-15 0:00,23.7,84
